source,target,weight
00000000000159512330,00000000000269651422,0.1875
00000000000159512330,00000000000569026324,0.25
00000000000159512330,00000000000886387249,0.15625
00000000000159512330,00000000000463503705,0.0151515151515
00000000000159512330,00000000000308851804,0.0160194174757
00000000003191747208,00000000000282123485,0.00213675213675
00000000000088916307,00000000003285620905,0.00111856823266
00000000000088916307,00000000003283975236,0.008
00000000003311674933,00000000000049556187,0.05
00000000003311674933,00000000000160130054,0.0122950819672
00000000003311674933,00000000000037599685,0.0555555555556
00000000003311674933,00000000000066346348,0.05
00000000003311674933,00000000000914402863,0.214285714286
00000000003311674933,00000000000025188792,0.125
00000000003311674933,00000000000837053846,0.5
00000000003311674933,00000000000050548818,0.00862068965517
00000000003311674933,00000000000002768501,0.166666666667
00000000003311674933,00000000000044364694,0.25
00000000003311674933,00000000000624837541,0.166666666667
00000000003311674933,00000000000324760398,0.0243902439024
00000000003311674933,00000000000051670297,0.125
00000000003311674933,00000000000114251189,0.00170648464164
00000000003311674933,00000000002547872748,0.0277777777778
00000000003311674933,00000000000158414847,0.25
00000000003311674933,00000000002643886740,0.1
00000000003311674933,00000000000073838262,0.0625
00000000003311674933,00000000000193194851,0.0042735042735
00000000003311674933,00000000000990271902,0.0625
00000000003311674933,00000000000329509341,0.0135135135135
00000000003311674933,00000000000022240612,0.0178571428571
00000000003311674933,00000000000283381029,0.0454545454545
00000000003311674933,00000000000020510539,0.00297619047619
00000000003311674933,00000000000408338751,0.0151515151515
00000000003311674933,00000000001722541195,0.125
00000000003311674933,00000000001152679494,0.0333333333333
00000000003311674933,00000000001854561384,0.5
00000000003311674933,00000000000044335525,0.00402144772118
00000000003311674933,00000000003014565240,0.25
00000000003311674933,00000000000282123485,0.00213675213675
00000000003311674933,00000000000269208186,0.03125
00000000003311674933,00000000000022466145,0.5
00000000003311674933,00000000002202649009,0.125
00000000003311674933,00000000000393657399,0.1
00000000000019923144,00000000004695748232,0.25
00000000000019923144,00714426361025269762,0.046511627907
00000000000019923144,00000000002356027499,0.25
00000000000019923144,00000000003922067234,0.0121951219512
00000000000133026592,00000000003285620905,0.00111856823266
00000000000133026592,00000000003283975236,0.02
00000000000133026592,00000000000334028972,0.0384615384615
00000000000133026592,00000000003170319404,0.0020325203252
00000000000133026592,00000000000155202400,0.00751879699248
00000000000133026592,00000000000133677167,0.00806451612903
00000000002150112956,00000000003637901360,0.000537056928034
00000000002150112956,00000000003317903588,0.000892857142857
00000000002150112956,00000000004582160903,0.00213219616205
00000000002150112956,00000000003308843742,0.00200803212851
00000000002150112956,00000000000337551584,0.000424448217317
00000000002150112956,00000000003336700099,0.0032502708559
00000000002150112956,00713576525082312705,0.000936329588015
00000000002150112956,00000000004688557404,0.0014367816092
00000000002150112956,00000000003527418314,0.000249584026622
00000000002150112956,00000000003313055305,0.00593824228029
00000000002150112956,00000000000941862163,0.000153704272979
00000000002150112956,00000000003321167329,0.000532481363152
00000000002150112956,00000000003917865196,0.000384467512495
00000000002150112956,00000000002826635156,0.000120481927711
00000000000163925689,00000000000172071058,0.5
00000000000163925689,00000000000031442869,0.166666666667
00000000001056850669,00000000000103865907,0.0294117647059
00000000001056850669,00000000000357578562,0.00344827586207
00000000001056850669,00000000000017755316,0.0019267822736
00000000001056850669,00000000000103242520,0.004
00000000001056850669,00000000000184110918,0.0128205128205
00000000001056850669,00000000000157246514,0.0045045045045
00000000001056850669,00000000000168063791,0.00124069478908
00000000003129355014,00000000002874331209,0.5
00000000003129355014,00000000000997099441,0.166666666667
00000000003129355014,00000000000044335525,0.00402144772118
00000000003129355014,00000000000445012737,0.25
00000000003129355014,00000000003237192102,0.5
00000000003129355014,00000000000420461599,0.5
00000000003129355014,00000000000938652475,0.5
00000000003129355014,00000000000282123485,0.00213675213675
00000000003129355014,00000000000547584846,0.5
00000000003129355014,00000000000193244844,0.05
00000000003129355014,00000000002539714183,0.5
